0.20272 10600
0.40048 145600
0.60064 702000
0.80032 1248000
1.000016 1248000
1.200512 1253200
1.400192 1248000
1.600016 1253200
1.800384 1248000
2.000064 1248000
2.200576 1253200
2.400256 1248000
2.600032 1253200
2.800448 1248000
3.000128 1248000
3.20064 1253200
3.40032 1248000
3.600016 1248000
3.800512 1253200
4.000192 1248000
4.200016 1253200
4.400384 1248000
4.600064 1248000
4.800576 1253200
5.000256 1248000
5.200144 1175200
5.400032 868400
5.600464 946400
5.800304 899600
6.000144 535600
6.200016 72800
6.400448 176800
6.600144 145600
6.800016 36400
7.000432 124800
7.200112 202800
7.400032 208000
7.600432 26000
7.800112 26000
8.000624 0
8.200304 36400
8.400016 46800
8.600592 67600
8.800272 88400
9.000016 109200
9.200496 130000
9.400176 140400
9.600016 161200
9.8004 182000
10 202800
10.200624 223600
10.400368 244400
10.600048 260000
10.800224 150800
11.000368 31200
11.200048 109200
11.400256 150800
11.600256 171600
11.800032 192400
12.000096 182000
12.200144 182000
12.4 208000
12.600336 228800
12.800016 275600
13 286000
13.200336 26000
13.400016 62400
13.600528 150800
13.800208 156000
14.000016 26000
14.2 62400
14.40008 88400
14.600624 109200
14.800304 130000
15 150800
15.200256 171600
15.400176 192400
15.600032 213200
15.8004 218400
16.00008 140400
16.200288 31200
16.400032 57200
16.600032 104000
16.800624 140400
17.000304 161200
17.2 182000
17.400032 202800
17.600176 218400
17.800032 234000
18 254800
18.200096 275600
18.400624 286000
18.600336 26000
18.800048 57200
19.000064 145600
19.20024 161200
19.4 182000
19.600496 26000
19.800176 0
19.999984 0
